neighborhood,year,median_asking_rent,yoy_pct
Inwood (10034),2010,,
Inwood (10034),2011,,
Inwood (10034),2012,,
Inwood (10034),2013,,
Inwood (10034),2014,,
Inwood (10034),2015,1837,
Inwood (10034),2016,1880,2.3
Inwood (10034),2017,1908,1.5
Inwood (10034),2018,1957,2.5
Inwood (10034),2019,2002,2.3
Inwood (10034),2020,2003,0.1
Inwood (10034),2021,1951,-2.6
Inwood (10034),2022,2109,8.1
Inwood (10034),2023,2243,6.3
Inwood (10034),2024,2310,3.0
Inwood (10034),2025,2436,5.5
Fort George (10040),2010,,
Fort George (10040),2011,,
Fort George (10040),2012,,
Fort George (10040),2013,,
Fort George (10040),2014,,
Fort George (10040),2015,1910,
Fort George (10040),2016,1967,3.0
Fort George (10040),2017,2057,4.6
Fort George (10040),2018,2112,2.7
Fort George (10040),2019,2162,2.4
Fort George (10040),2020,2166,0.2
Fort George (10040),2021,2121,-2.1
Fort George (10040),2022,2366,11.5
Fort George (10040),2023,2506,5.9
Fort George (10040),2024,2611,4.2
Fort George (10040),2025,2707,3.7
Washington Heights South (10033),2010,,
Washington Heights South (10033),2011,,
Washington Heights South (10033),2012,,
Washington Heights South (10033),2013,,
Washington Heights South (10033),2014,,
Washington Heights South (10033),2015,2016,
Washington Heights South (10033),2016,2097,4.0
Washington Heights South (10033),2017,2131,1.6
Washington Heights South (10033),2018,2213,3.8
Washington Heights South (10033),2019,2251,1.7
Washington Heights South (10033),2020,2230,-0.9
Washington Heights South (10033),2021,2178,-2.3
Washington Heights South (10033),2022,2409,10.6
Washington Heights South (10033),2023,2563,6.4
Washington Heights South (10033),2024,2602,1.5
Washington Heights South (10033),2025,2766,6.3
Washington Heights (10032),2010,,
Washington Heights (10032),2011,,
Washington Heights (10032),2012,,
Washington Heights (10032),2013,,
Washington Heights (10032),2014,,
Washington Heights (10032),2015,2058,
Washington Heights (10032),2016,2098,1.9
Washington Heights (10032),2017,2201,4.9
Washington Heights (10032),2018,2220,0.9
Washington Heights (10032),2019,2260,1.8
Washington Heights (10032),2020,2219,-1.8
Washington Heights (10032),2021,2184,-1.6
Washington Heights (10032),2022,2441,11.8
Washington Heights (10032),2023,2574,5.4
Washington Heights (10032),2024,2677,4.0
Washington Heights (10032),2025,2799,4.6
Sugar Hill (10039),2010,,
Sugar Hill (10039),2011,,
Sugar Hill (10039),2012,,
Sugar Hill (10039),2013,,
Sugar Hill (10039),2014,,
Sugar Hill (10039),2015,,
Sugar Hill (10039),2016,,
Sugar Hill (10039),2017,,
Sugar Hill (10039),2018,,
Sugar Hill (10039),2019,,
Sugar Hill (10039),2020,2384,
Sugar Hill (10039),2021,2293,-3.8
Sugar Hill (10039),2022,2613,13.9
Sugar Hill (10039),2023,2788,6.7
Sugar Hill (10039),2024,2907,4.3
Sugar Hill (10039),2025,2960,1.8
Hamilton Heights (10031),2010,,
Hamilton Heights (10031),2011,,
Hamilton Heights (10031),2012,,
Hamilton Heights (10031),2013,,
Hamilton Heights (10031),2014,,
Hamilton Heights (10031),2015,2109,
Hamilton Heights (10031),2016,2212,4.9
Hamilton Heights (10031),2017,2259,2.1
Hamilton Heights (10031),2018,2307,2.1
Hamilton Heights (10031),2019,2359,2.2
Hamilton Heights (10031),2020,2282,-3.2
Hamilton Heights (10031),2021,2232,-2.2
Hamilton Heights (10031),2022,2508,12.4
Hamilton Heights (10031),2023,2675,6.6
Hamilton Heights (10031),2024,2773,3.7
Hamilton Heights (10031),2025,2921,5.3
Central Harlem North (10030),2010,,
Central Harlem North (10030),2011,,
Central Harlem North (10030),2012,,
Central Harlem North (10030),2013,,
Central Harlem North (10030),2014,,
Central Harlem North (10030),2015,,
Central Harlem North (10030),2016,,
Central Harlem North (10030),2017,,
Central Harlem North (10030),2018,,
Central Harlem North (10030),2019,,
Central Harlem North (10030),2020,2130,
Central Harlem North (10030),2021,2074,-2.6
Central Harlem North (10030),2022,2329,12.3
Central Harlem North (10030),2023,2464,5.8
Central Harlem North (10030),2024,2524,2.4
Central Harlem North (10030),2025,2633,4.3
Morningside Heights (10027),2010,,
Morningside Heights (10027),2011,,
Morningside Heights (10027),2012,,
Morningside Heights (10027),2013,,
Morningside Heights (10027),2014,,
Morningside Heights (10027),2015,2666,
Morningside Heights (10027),2016,2755,3.3
Morningside Heights (10027),2017,2796,1.5
Morningside Heights (10027),2018,2857,2.2
Morningside Heights (10027),2019,2925,2.4
Morningside Heights (10027),2020,2826,-3.4
Morningside Heights (10027),2021,2745,-2.9
Morningside Heights (10027),2022,3164,15.3
Morningside Heights (10027),2023,3335,5.4
Morningside Heights (10027),2024,3452,3.5
Morningside Heights (10027),2025,3636,5.3
Central Harlem South (10026),2010,,
Central Harlem South (10026),2011,,
Central Harlem South (10026),2012,,
Central Harlem South (10026),2013,,
Central Harlem South (10026),2014,,
Central Harlem South (10026),2015,2579,
Central Harlem South (10026),2016,2674,3.7
